ID,Sales
T1188341,61259.06449406695
T1188342,39208.913783061274
T1188343,75910.29833768474
T1188344,39304.840043049575
T1188345,38524.583780403
T1188346,90069.41831443249
T1188347,65144.68028041918
T1188348,50421.32550577816
T1188349,54842.562046042985
T1188350,36225.84128005586
T1188351,48600.27784019785
T1188352,40526.53812453587
T1188353,40734.05023163787
T1188354,41980.33410865717
T1188355,43233.111270817935
T1188356,35522.997924603435
T1188357,48042.04030392659
T1188358,23606.371898695386
T1188359,38878.75280743138
T1188360,57336.57413710337
T1188361,30953.693643775456
T1188362,40308.542345098904
T1188363,43011.88795730771
T1188364,30679.22108202619
T1188365,38780.278900512865
T1188366,33276.68595275201
T1188367,38238.5006682599
T1188368,35123.72594712487
T1188369,38238.5006682599
T1188370,50945.393214282994
T1188371,38342.11168841036
T1188372,55659.24534641056
T1188373,34641.6684024138
T1188374,34532.45884724396
T1188375,76670.8481245325
T1188376,66058.70288951577
T1188377,34422.5990486439
T1188378,36467.550677292915
T1188379,29129.401743974857
T1188380,71157.16010507029
T1188381,32557.92252951909
T1188382,38238.5006682599
T1188383,34758.03944404526
T1188384,32744.656551236076
T1188385,44235.29864304966
T1188386,39233.13666573254
T1188387,70650.22387772743
T1188388,63150.69226294756
T1188389,35154.53518714617
T1188390,85737.79358585828
T1188391,39568.52118957483
T1188392,51088.82909431939
T1188393,65770.14181039212
T1188394,50530.90657608835
T1188395,39568.52118957483
T1188396,73989.00461443434
T1188397,40598.06949339884
T1188398,43813.702146145384
T1188399,39082.665496608824
T1188400,48481.16398447239
T1188401,36350.64963403386
T1188402,23810.99773634493
T1188403,56686.72726583627
T1188404,36350.64963403386
T1188405,37730.40068498715
T1188406,26622.72287149969
T1188407,57582.09738279941
T1188408,38364.98694838352
T1188409,39071.71121251578
T1188410,26779.17892834934
T1188411,58643.34281445008
T1188412,24115.971071306954
T1188413,39282.76385671644
T1188414,29682.24140051432
T1188415,37348.864203409285
T1188416,43927.48628759626
T1188417,53048.1381331499
T1188418,40405.39922213568
T1188419,48085.404913593105
T1188420,58818.95585493327
T1188421,25150.058616040686
T1188422,51882.336568403305
T1188423,66359.66525616928
T1188424,39908.33453080039
T1188425,37770.095902106026
T1188426,39282.76385671644
T1188427,59475.146865241964
T1188428,38717.82351680237
T1188429,64523.22818980223
T1188430,55331.7192553113
T1188431,40497.71854128196
T1188432,24971.301981965764
T1188433,59789.62396982986
T1188434,39486.41934981403
T1188435,34375.50772413646
T1188436,52037.81906547003
T1188437,58812.718022663925
T1188438,27062.724641742425
T1188439,51681.22098495395
T1188440,38998.39877905768
T1188441,32161.689485019702
T1188442,40339.401311203874
T1188443,41220.13581675857
T1188444,42064.80849939233
T1188445,37875.687617571406
T1188446,28271.1115127481
T1188447,62977.069259825104
T1188448,62031.39528030352
T1188449,39474.209979152816
T1188450,39652.53146871675
T1188451,53280.492674597204
T1188452,23812.84397182937
T1188453,48243.75212568019
T1188454,32815.31541646106
T1188455,63588.282859633255
